Semana ,Casos Notificados ,Em Investigação ,Casos Confirmados ,Casos Descartados 
2016-6,5280,3935,508,837
2016-7,5639,4106,583,950
2016-8,5909,4222,641,1046
2016-9,6158,4231,745,1182
2016-10,6480,4268,863,1349
2016-11,6671,4293,907,1471
2016-12,6776,4291,944,1541
2016-13,6906,4046,1046,1814
2016-14,7015,3836,1113,2066
2016-15,7150,3741,1168,2241
2016-16,7228,3710,1198,2320
2016-17,7343,3580,1271,2492
2016-18,7438,3433,1326,2679
2016-19,7534,3332,1384,2818
2016-20,7623,3257,1434,2932
2016-21,7723,3162,1489,3072
2016-22,7830,3017,1551,3262
2016-23,7936,3047,1581,3308
2016-24,8039,3007,1616,3416
2016-25,8165,3061,1638,3466
2016-26,8301,3130,1656,3515
2016-27,8451,3142,1687,3622
2016-28,8571,3182,1709,3680
2016-29,8703,3062,1749,3892
2016-30,8801,3012,1773,4016
2016-31,8890,2978,1806,4106
2016-32,9015,2957,1835,4223
2016-33,9091,2968,1845,4278
2016-34,9172,2971,1857,4344
2016-35,9289,2989,1888,4412
2016-36,9367,2990,1911,4466
2016-37,9514,3030,1949,4535
2016-38,9645,3031,1989,4625
2016-39,9711,3023,2001,4687
2016-40,9814,3055,2033,4726
2016-41,9862,3035,2063,4764
2016-42,9953,3077,2079,4797
2016-43,10039,3091,2106,4842
2016-44,10119,3086,2143,4890
2016-45,10199,3115,2159,4925
2016-46,10276,3113,2189,4974
2016-47,10342,3121,2211,5010
2016-48,10441,3173,2228,5040
2016-50,10574,3144,2289,5141
